09/01/2024 12:51:07.806 | DEBUG    |                             MemoryManager::Release | <End> [Status: Ok!]
09/01/2024 12:51:07.806 | DEBUG    |                          MemoryManager::Initialize | <End> [Status: Ok!]
09/01/2024 12:51:07.806 | DEBUG    |                            ChatManager::Initialize | <Begin>
09/01/2024 12:51:07.806 | DEBUG    |                            ChatManager::Initialize | <End> [Status: Ok!]
09/01/2024 12:51:07.806 | DEBUG    |                          PacketManager::Initialize | <Begin>
09/01/2024 12:51:07.806 | DEBUG    |                          PacketManager::Initialize | <End> [Status: Ok!]
09/01/2024 12:51:07.806 | DEBUG    |                          PluginManager::Initialize | <Begin>
09/01/2024 12:51:07.806 | DEBUG    |                          PluginManager::Initialize | <End> [Status: Ok!]
09/01/2024 12:51:07.806 | DEBUG    |                       PolPluginManager::Initialize | <Begin>
09/01/2024 12:51:07.806 | DEBUG    |                       PolPluginManager::Initialize | <End> [Status: Ok!]
09/01/2024 12:51:07.806 | DEBUG    |                             AshitaCore::Initialize | <End> [Status: Ok!]
09/01/2024 12:51:07.806 | DEBUG    |                    Ashita::Hooks::DirectX::Install | <Begin>
09/01/2024 12:51:07.807 | DEBUG    |                    Ashita::Hooks::DirectX::Install | <End> [Status: Ok!]
09/01/2024 12:51:07.807 | DEBUG    |                      Ashita::Hooks::Mutex::Install | <Begin>
09/01/2024 12:51:07.807 | DEBUG    |                      Ashita::Hooks::Mutex::Install | <End> [Status: Ok!]
09/01/2024 12:51:07.807 | DEBUG    |                   Ashita::Hooks::Registry::Install | <Begin>
09/01/2024 12:51:07.807 | DEBUG    |                   Ashita::Hooks::Registry::Install | <End> [Status: Ok!]
09/01/2024 12:51:07.807 | DEBUG    |                     Ashita::Hooks::Window::Install | <Begin>
09/01/2024 12:51:07.807 | DEBUG    |                     Ashita::Hooks::Window::Install | <End> [Status: Ok!]
09/01/2024 12:51:07.807 | DEBUG    |                     Ashita::Hooks::XInput::Install | <Begin>
09/01/2024 12:51:07.808 | DEBUG    |                     Ashita::Hooks::XInput::Install | <End> [Status: Ok!]
09/01/2024 12:51:09.052 | DEBUG    |        Ashita::Hooks::Window::Mine_CreateWindowExW | CreateWindowExW - Creating PlayOnline window. [dwExStyle: 0][dwStyle: 13238272][Pos: -2147483648 x -2147483648][Size: 658 x 527]
09/01/2024 12:51:09.053 | DEBUG    |        Ashita::Hooks::Window::Mine_CreateWindowExW | CreateWindowExW - Creating PlayOnline Mask window. [dwExStyle: 8][dwStyle: -2130706432][Pos: -1 x -1][Size: 1921 x 1081]
09/01/2024 12:51:09.056 | DEBUG    |    Ashita::Hooks::DirectX::Mine_DirectInput8Create | DirectInput8Create - Creating new DirectInput instance. [dwVersion: 2048]
